text,ticker,net_score,label
Apple is suing OpenAI over alleged trade secret theft,AAPL,0.0,0
How SK Hynix picked the 'perfect time' to list in the US,AAPL,0.0,1
What to expect this earnings season amid lingering Hindenburg Omens,AAPL,1.0,1
"Apple Sues OpenAI and Former Employees, Alleging Theft of Trade Secrets—and a Laptop",AAPL,0.0,0
"Apple Sues OpenAI, Alleging It Stole Trade Secrets",AAPL,0.0,0
"I’d Put $25,000 in These 2 ETFs Before the Next Earnings Season",AAPL,1.0,1
AAPL Stock Unmoved After-Hours — Apple Sues OpenAI Over Alleged 'Rotten' Campaign To Steal AI Hardware Secrets,AAPL,0.0,0
OpenAI Back in Another Legal War Weeks After Beating Elon Musk,AAPL,0.0,1
Apple vs. Broadcom: Is Either Stock a Buy After Their $30 Billion Chip Partnership?,AAPL,1.0,1
Apple sues OpenAI over alleged trade secret theft,AAPL,0.0,0
PC shipments fall as AI demand spikes memory prices,MSFT,-1.0,0
Arista Networks (ANET) Could Be 2% Undervalued Following Its AI Switching Push,MSFT,0.0,1
Why tech investors are reevaluating AI investments,MSFT,0.0,1
"I’d Put $25,000 in These 2 ETFs Before the Next Earnings Season",MSFT,1.0,1
"Amazon, Microsoft and Meta Among HSBC Earnings Picks",MSFT,1.0,2
"Three Enticing Clues Put This Broadcom Partner, Nvidia Rival In Focus",MSFT,0.0,1
UK Brings Amazon Web Services Under Direct Financial Oversight,MSFT,0.0,1
Starbucks tries something it failed at before,MSFT,0.0,1
IBM's Quantum Upside Meets Valuation Risk,MSFT,0.0,1
AI Giants Add $350 Billion Debt as $725 Billion Spending Surges,MSFT,-1.0,0
What Meta's Muse AI image tool means for Instagram privacy,GOOGL,0.0,1
Why Microsoft is not this portfolio manager's stock pick,GOOGL,0.0,1
Why tech investors are reevaluating AI investments,GOOGL,0.0,1
Review & Preview: Why the Dow Snapped Its Streak,GOOGL,0.0,1
You Didn’t Need Alphabet: XLK Returned 29.35% to GOOGL’s 14.26%,GOOGL,0.0,0
"Tesla Faces Possible Robotaxi Ban In New Jersey, But It Gains Market Share In China",GOOGL,1.0,1
"Amazon, Microsoft and Meta Among HSBC Earnings Picks",GOOGL,1.0,1
UK Brings Amazon Web Services Under Direct Financial Oversight,GOOGL,0.0,1
IBM's Quantum Upside Meets Valuation Risk,GOOGL,0.0,1
AI Giants Add $350 Billion Debt as $725 Billion Spending Surges,GOOGL,-1.0,0
What Meta's Muse AI image tool means for Instagram privacy,META,0.0,0
Why Microsoft is not this portfolio manager's stock pick,META,0.0,1
Arista Networks (ANET) Could Be 2% Undervalued Following Its AI Switching Push,META,0.0,1
Review & Preview: Why the Dow Snapped Its Streak,META,0.0,1
3 Reasons I Think Meta Platforms is a Screaming Buy Right Now,META,1.0,2
